Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	
53760	25621.09375	2830	-2.13253012048193	2224	-9.43373493975904	2268	-2.66265060240964	-95	-0.183206106870229	12	1.45038167938931	59	-0.900763358778626	
54400	25640.625	2830	-2.12048192771084	2223	-9.43373493975904	2265	-2.62650602409639	-114	-0.381679389312977	25	1.74045801526718	55	-0.83969465648855	
55040	25660.15625	2832	-2.13253012048193	2224	-9.45783132530121	2261	-2.57831325301205	-113	-0.458015267175573	30	1.72519083969466	67	-1.02290076335878	
55680	25679.6875	2829	-2.13253012048193	2224	-9.42168674698795	2262	-2.59036144578313	-128	-0.396946564885496	26	1.95419847328244	64	-0.977099236641221	
56320	25699.21875	2829	-2.1566265060241	2226	-9.42168674698795	2263	-2.60240963855422	-113	-0.458015267175573	30	1.72519083969466	52	-0.793893129770992	
56960	25718.75	2831	-2.21686746987952	2231	-9.44578313253012	2264	-2.6144578313253	-119	-0.381679389312977	25	1.81679389312977	35	-0.534351145038168	
57600	25738.28125	2830	-2.1566265060241	2226	-9.43373493975904	2265	-2.62650602409639	-107	-0.366412213740458	24	1.63358778625954	55	-0.83969465648855	
58240	25757.8125	2834	-2.1566265060241	2226	-9.48192771084337	2262	-2.59036144578313	-83	-0.687022900763359	45	1.26717557251908	39	-0.595419847328244	
58880	25777.34375	2834	-2.19277108433735	2229	-9.48192771084337	2264	-2.6144578313253	-78	-0.137404580152672	9	1.19083969465649	51	-0.778625954198473	
59520	25796.875	2834	-2.18072289156627	2228	-9.48192771084337	2266	-2.63855421686747	-99	0.366412213740458	-24	1.51145038167939	62	-0.946564885496183	
60160	25816.40625	2828	-2.1566265060241	2226	-9.40963855421687	2266	-2.63855421686747	-84	1.20610687022901	-79	1.2824427480916	56	-0.854961832061069	
60800	25835.9375	2826	-2.16867469879518	2227	-9.3855421686747	2264	-2.6144578313253	-93	0.519083969465649	-34	1.41984732824427	53	-0.809160305343511	
61440	25855.46875	2827	-2.12048192771084	2223	-9.39759036144578	2264	-2.6144578313253	-110	0.351145038167939	-23	1.6793893129771	36	-0.549618320610687	
62080	25875	2828	-2.12048192771084	2223	-9.40963855421687	2264	-2.6144578313253	-102	-0.137404580152672	9	1.55725190839695	40	-0.610687022900763	
62720	25894.53125	2830	-2.14457831325301	2225	-9.43373493975904	2264	-2.6144578313253	-113	-0.33587786259542	22	1.72519083969466	39	-0.595419847328244	
63360	25914.0625	2831	-2.14457831325301	2225	-9.44578313253012	2265	-2.62650602409639	-120	-0.488549618320611	32	1.83206106870229	52	-0.793893129770992	
64000	25933.59375	2829	-2.1566265060241	2226	-9.42168674698795	2264	-2.6144578313253	-99	-0.366412213740458	24	1.51145038167939	61	-0.931297709923664	
64640	25953.125	2828	-2.16867469879518	2227	-9.40963855421687	2264	-2.6144578313253	-102	-0.213740458015267	14	1.55725190839695	70	-1.06870229007634	
65280	25972.65625	2828	-2.18072289156627	2228	-9.40963855421687	2264	-2.6144578313253	-110	-0.442748091603053	29	1.6793893129771	72	-1.09923664122137	
384	25992.1875	2826	-2.19277108433735	2229	-9.3855421686747	2262	-2.59036144578313	-113	-0.702290076335878	46	1.72519083969466	73	-1.11450381679389	
1024	26011.71875	2828	-2.20481927710843	2230	-9.40963855421687	2262	-2.59036144578313	-112	-0.900763358778626	59	1.70992366412214	80	-1.22137404580153	
1664	26031.25	2829	-2.21686746987952	2231	-9.42168674698795	2263	-2.60240963855422	-94	-1.0381679389313	68	1.43511450381679	66	-1.00763358778626	
2304	26050.78125	2830	-2.2289156626506	2232	-9.43373493975904	2266	-2.63855421686747	-98	-0.916030534351145	60	1.49618320610687	63	-0.961832061068702	
2944	26070.3125	2831	-2.2289156626506	2232	-9.44578313253012	2267	-2.65060240963855	-62	-0.67175572519084	44	0.946564885496183	56	-0.854961832061069	
3584	26089.84375	2831	-2.20481927710843	2230	-9.44578313253012	2270	-2.68674698795181	-33	-0.274809160305344	18	0.50381679389313	50	-0.763358778625954	
4224	26109.375	2830	-2.18072289156627	2228	-9.43373493975904	2271	-2.69879518072289	-20	0.412213740458015	-27	0.305343511450382	37	-0.564885496183206	
4864	26128.90625	2829	-2.14457831325301	2225	-9.42168674698795	2269	-2.67469879518072	-8	0.564885496183206	-37	0.122137404580153	43	-0.656488549618321	
5504	26148.4375	2828	-2.09638554216868	2221	-9.40963855421687	2267	-2.65060240963855	-34	0.763358778625954	-50	0.519083969465649	22	-0.33587786259542	
6144	26167.96875	2828	-2.09638554216868	2221	-9.40963855421687	2267	-2.65060240963855	-57	0.67175572519084	-44	0.870229007633588	17	-0.259541984732824	
6784	26187.5	2830	-2.10843373493976	2222	-9.43373493975904	2267	-2.65060240963855	-66	0.549618320610687	-36	1.00763358778626	18	-0.274809160305344	
7424	26207.03125	2831	-2.10843373493976	2222	-9.44578313253012	2265	-2.62650602409639	-95	0.259541984732824	-17	1.45038167938931	25	-0.381679389312977	
8064	26226.5625	2833	-2.10843373493976	2222	-9.46987951807229	2266	-2.63855421686747	-99	0.50381679389313	-33	1.51145038167939	45	-0.687022900763359	
8704	26246.09375	2829	-2.12048192771084	2223	-9.42168674698795	2267	-2.65060240963855	-94	0.213740458015267	-14	1.43511450381679	68	-1.0381679389313	
9344	26265.625	2831	-2.13253012048193	2224	-9.44578313253012	2266	-2.63855421686747	-97	0.213740458015267	-14	1.48091603053435	83	-1.26717557251908	
9984	26285.15625	2831	-2.12048192771084	2223	-9.44578313253012	2264	-2.6144578313253	-104	0.0152671755725191	-1	1.58778625954198	105	-1.6030534351145	
10624	26304.6875	2832	-2.10843373493976	2222	-9.45783132530121	2264	-2.6144578313253	-103	0.0458015267175573	-3	1.57251908396947	99	-1.51145038167939	
11264	26324.21875	2832	-2.13253012048193	2224	-9.45783132530121	2265	-2.62650602409639	-115	0.274809160305344	-18	1.75572519083969	116	-1.77099236641221	
